,,,2,3,2,3,,,,,,,
2d0926be-9a29-4e6c-b342-815c70172214,worried,19-08-2020 07:02,GIF,animals,negative,12,,,,,,,
2d0926be-9a29-4e6c-b342-815c70172214,indifferent,26-02-2021 17:18,GIF,animals,neutral,20,,,,,,,
2d0926be-9a29-4e6c-b342-815c70172214,super love,05-11-2020 07:59,GIF,animals,positive,75,,,,,,,
2d0926be-9a29-4e6c-b342-815c70172214,super love,18-12-2020 17:17,GIF,animals,positive,75,,,,,,,
2d0926be-9a29-4e6c-b342-815c70172214,worried,22-02-2021 03:12,GIF,animals,negative,12,,,,,,,
2d0926be-9a29-4e6c-b342-815c70172214,cherish,24-01-2021 19:30,GIF,animals,positive,70,,,,,,,
2d0926be-9a29-4e6c-b342-815c70172214,dislike,02-10-2020 00:17,GIF,animals,negative,10,,,,,,,
2d0926be-9a29-4e6c-b342-815c70172214,indifferent,24-10-2020 05:23,GIF,animals,neutral,20,,,,,,,
2d0926be-9a29-4e6c-b342-815c70172214,intrigued,17-08-2020 11:35,GIF,animals,positive,45,,,,,,,
2d0926be-9a29-4e6c-b342-815c70172214,indifferent,08-11-2020 22:18,GIF,animals,neutral,20,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,love,24-09-2020 21:08,photo,animals,positive,65,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,worried,13-04-2021 09:01,photo,animals,negative,12,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,dislike,19-04-2021 09:23,photo,animals,negative,10,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,super love,30-11-2020 00:57,photo,animals,positive,75,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,worried,04-03-2021 12:02,photo,animals,negative,12,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,indifferent,18-05-2021 22:39,photo,animals,neutral,20,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,interested,15-07-2020 00:04,photo,animals,positive,30,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,super love,27-09-2020 21:02,photo,animals,positive,75,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,peeking,31-03-2021 01:18,photo,animals,neutral,35,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,scared,29-01-2021 06:49,photo,animals,negative,15,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,scared,04-02-2021 04:38,photo,animals,negative,15,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,like,26-07-2020 11:16,photo,animals,positive,50,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,hate,08-04-2021 00:36,photo,animals,negative,5,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,indifferent,27-06-2020 14:07,photo,animals,neutral,20,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,disgust,21-01-2021 16:00,photo,animals,negative,0,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,intrigued,29-12-2020 19:34,photo,animals,positive,45,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,interested,04-04-2021 20:38,photo,animals,positive,30,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,cherish,04-06-2021 23:09,photo,animals,positive,70,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,heart,07-09-2020 11:03,photo,animals,positive,60,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,hate,08-07-2020 11:10,photo,animals,negative,5,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,intrigued,27-03-2021 19:13,photo,animals,positive,45,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,disgust,25-02-2021 22:40,photo,animals,negative,0,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,dislike,22-08-2020 15:50,photo,animals,negative,10,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,adore,11-02-2021 19:20,photo,animals,positive,72,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,love,01-05-2021 22:15,photo,animals,positive,65,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,want,11-12-2020 23:00,photo,animals,positive,70,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,hate,09-05-2021 13:36,photo,animals,negative,5,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,scared,22-12-2020 04:45,photo,animals,negative,15,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,heart,13-09-2020 10:59,photo,animals,positive,60,,,,,,,
f01ec49c-3179-43bb-b127-2b1a73f34b06,indifferent,19-01-2021 02:02,photo,animals,neutral,20,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,hate,30-08-2020 10:16,photo,animals,negative,5,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,peeking,24-07-2020 01:16,photo,animals,neutral,35,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,indifferent,05-10-2020 08:08,photo,animals,neutral,20,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,scared,01-07-2020 12:15,photo,animals,negative,15,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,adore,12-10-2020 14:17,photo,animals,positive,72,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,heart,28-06-2020 11:50,photo,animals,positive,60,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,super love,03-03-2021 03:06,photo,animals,positive,75,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,peeking,23-11-2020 23:20,photo,animals,neutral,35,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,scared,07-01-2021 14:49,photo,animals,negative,15,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,hate,17-02-2021 15:52,photo,animals,negative,5,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,love,28-06-2020 21:16,photo,animals,positive,65,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,hate,17-11-2020 18:49,photo,animals,negative,5,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,intrigued,16-01-2021 23:06,photo,animals,positive,45,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,disgust,26-12-2020 08:14,photo,animals,negative,0,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,hate,06-06-2021 16:13,photo,animals,negative,5,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,indifferent,20-01-2021 12:57,photo,animals,neutral,20,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,adore,17-03-2021 07:37,photo,animals,positive,72,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,scared,26-06-2020 06:25,photo,animals,negative,15,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,hate,16-01-2021 22:57,photo,animals,negative,5,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,super love,16-04-2021 16:12,photo,animals,positive,75,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,peeking,21-06-2020 10:39,photo,animals,neutral,35,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,super love,27-06-2020 02:17,photo,animals,positive,75,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,like,09-12-2020 08:18,photo,animals,positive,50,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,indifferent,26-02-2021 17:32,photo,animals,neutral,20,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,disgust,14-11-2020 00:40,photo,animals,negative,0,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,scared,04-12-2020 19:16,photo,animals,negative,15,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,hate,27-05-2021 18:33,photo,animals,negative,5,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,scared,06-02-2021 08:50,photo,animals,negative,15,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,peeking,27-06-2020 04:59,photo,animals,neutral,35,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,like,10-07-2020 04:39,photo,animals,positive,50,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,like,29-11-2020 14:54,photo,animals,positive,50,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,indifferent,12-08-2020 16:37,photo,animals,neutral,20,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,super love,13-11-2020 05:59,photo,animals,positive,75,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,worried,06-04-2021 06:10,photo,animals,negative,12,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,want,24-07-2020 02:26,photo,animals,positive,70,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,disgust,25-05-2021 15:23,photo,animals,negative,0,,,,,,,
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,adore,11-09-2020 23:04,photo,animals,positive,72,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,disgust,09-04-2021 00:41,video,animals,negative,0,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,heart,27-10-2020 23:23,video,animals,positive,60,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,like,14-02-2021 20:37,video,animals,positive,50,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,interested,22-08-2020 03:33,video,animals,positive,30,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,want,06-04-2021 09:09,video,animals,positive,70,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,love,18-10-2020 01:21,video,animals,positive,65,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,interested,09-08-2020 14:26,video,animals,positive,30,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,like,04-03-2021 00:11,video,animals,positive,50,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,indifferent,09-06-2021 03:11,video,animals,neutral,20,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,like,06-03-2021 18:46,video,animals,positive,50,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,disgust,17-11-2020 07:00,video,animals,negative,0,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,dislike,22-12-2020 02:00,video,animals,negative,10,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,worried,12-01-2021 10:27,video,animals,negative,12,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,cherish,05-05-2021 19:53,video,animals,positive,70,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,dislike,01-09-2020 07:17,video,animals,negative,10,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,interested,25-01-2021 04:45,video,animals,positive,30,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,want,30-06-2020 16:53,video,animals,positive,70,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,adore,10-12-2020 17:16,video,animals,positive,72,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,disgust,04-08-2020 23:23,video,animals,negative,0,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,disgust,22-07-2020 07:50,video,animals,negative,0,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,dislike,24-07-2020 07:41,video,animals,negative,10,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,scared,16-07-2020 15:04,video,animals,negative,15,,,,,,,
6199f5ca-cc02-410d-a408-e034946de162,hate,15-02-2021 17:49,video,animals,negative,5,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,intrigued,04-04-2021 21:54,photo,animals,positive,45,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,hate,11-08-2020 23:26,photo,animals,negative,5,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,love,12-05-2021 12:32,photo,animals,positive,65,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,heart,12-06-2021 23:46,photo,animals,positive,60,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,interested,15-03-2021 08:02,photo,animals,positive,30,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,cherish,17-09-2020 14:28,photo,animals,positive,70,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,scared,02-01-2021 01:18,photo,animals,negative,15,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,like,01-01-2021 15:19,photo,animals,positive,50,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,heart,24-11-2020 11:43,photo,animals,positive,60,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,want,28-12-2020 16:34,photo,animals,positive,70,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,want,15-11-2020 10:47,photo,animals,positive,70,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,heart,26-05-2021 14:24,photo,animals,positive,60,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,hate,20-09-2020 17:18,photo,animals,negative,5,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,cherish,23-07-2020 01:08,photo,animals,positive,70,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,heart,24-01-2021 22:09,photo,animals,positive,60,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,like,07-08-2020 01:13,photo,animals,positive,50,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,dislike,27-11-2020 09:20,photo,animals,negative,10,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,want,19-02-2021 09:14,photo,animals,positive,70,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,intrigued,05-09-2020 22:15,photo,animals,positive,45,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,07-07-2020 16:46,photo,animals,negative,0,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,13-02-2021 00:27,photo,animals,negative,0,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,03-04-2021 22:22,photo,animals,negative,0,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,intrigued,28-01-2021 07:07,photo,animals,positive,45,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,28-09-2020 09:23,photo,animals,negative,0,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,peeking,25-02-2021 03:28,photo,animals,neutral,35,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,like,10-01-2021 05:44,photo,animals,positive,50,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,want,09-09-2020 13:53,photo,animals,positive,70,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,super love,12-02-2021 23:09,photo,animals,positive,75,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,indifferent,11-12-2020 15:35,photo,animals,neutral,20,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,peeking,16-05-2021 10:24,photo,animals,neutral,35,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,peeking,27-09-2020 06:47,photo,animals,neutral,35,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,super love,10-09-2020 08:42,photo,animals,positive,75,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,peeking,19-05-2021 23:47,photo,animals,neutral,35,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,adore,22-07-2020 07:20,photo,animals,positive,72,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,scared,12-10-2020 14:38,photo,animals,negative,15,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,22-09-2020 14:42,photo,animals,negative,0,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,want,12-02-2021 05:06,photo,animals,positive,70,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,worried,17-12-2020 12:38,photo,animals,negative,12,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,cherish,06-06-2021 21:50,photo,animals,positive,70,,,,,,,
5651450a-d330-46e6-bac9-c7c7e7defaf2,want,22-03-2021 18:00,photo,animals,positive,70,,,,,,,
811834bf-44bf-47f3-ae30-e305591177d6,worried,17-03-2021 14:59,GIF,animals,negative,12,,,,,,,
811834bf-44bf-47f3-ae30-e305591177d6,indifferent,15-12-2020 10:46,GIF,animals,neutral,20,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,peeking,20-03-2021 14:10,GIF,animals,neutral,35,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,interested,28-08-2020 15:26,GIF,animals,positive,30,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,like,21-10-2020 23:56,GIF,animals,positive,50,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,intrigued,28-05-2021 05:00,GIF,animals,positive,45,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,intrigued,10-09-2020 15:53,GIF,animals,positive,45,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,like,25-03-2021 18:37,GIF,animals,positive,50,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,heart,06-11-2020 00:51,GIF,animals,positive,60,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,want,01-03-2021 09:37,GIF,animals,positive,70,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,intrigued,22-02-2021 15:42,GIF,animals,positive,45,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,peeking,20-11-2020 05:02,GIF,animals,neutral,35,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,scared,10-06-2021 09:02,GIF,animals,negative,15,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,like,06-10-2020 19:23,GIF,animals,positive,50,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,cherish,11-11-2020 04:16,GIF,animals,positive,70,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,hate,26-10-2020 21:04,GIF,animals,negative,5,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,like,11-03-2021 03:11,GIF,animals,positive,50,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,super love,09-04-2021 03:07,GIF,animals,positive,75,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,indifferent,27-03-2021 17:52,GIF,animals,neutral,20,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,worried,07-04-2021 01:28,GIF,animals,negative,12,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,heart,14-06-2021 21:46,GIF,animals,positive,60,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,interested,02-04-2021 08:01,GIF,animals,positive,30,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,like,18-05-2021 03:15,GIF,animals,positive,50,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,adore,27-11-2020 22:33,GIF,animals,positive,72,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,peeking,01-05-2021 11:19,GIF,animals,neutral,35,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,dislike,02-05-2021 07:12,GIF,animals,negative,10,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,love,02-04-2021 17:55,GIF,animals,positive,65,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,intrigued,31-01-2021 13:47,GIF,animals,positive,45,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,intrigued,16-02-2021 13:38,GIF,animals,positive,45,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,interested,01-04-2021 17:02,GIF,animals,positive,30,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,worried,28-12-2020 11:30,GIF,animals,negative,12,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,want,20-10-2020 10:02,GIF,animals,positive,70,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,heart,09-11-2020 21:27,GIF,animals,positive,60,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,super love,11-11-2020 22:41,GIF,animals,positive,75,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,interested,06-11-2020 04:05,GIF,animals,positive,30,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,disgust,29-09-2020 07:59,GIF,animals,negative,0,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,adore,29-12-2020 04:08,GIF,animals,positive,72,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,cherish,27-10-2020 22:36,GIF,animals,positive,70,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,heart,26-04-2021 14:09,GIF,animals,positive,60,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,like,22-06-2020 23:19,GIF,animals,positive,50,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,like,21-05-2021 13:00,GIF,animals,positive,50,,,,,,,
27ec2b21-a749-4181-b182-150a174fc277,like,17-08-2020 03:11,GIF,animals,positive,50,,,,,,,
